"Mppcv";"Mppnm_";"Link2MPG";"Link2PVT"
"3055977";"Zolmitriptan Actavis orodisp. tabl. Instant 6 x 2,5 mg";"http://www.bcfi.be/nl/contents/jump?amppid=107615";"http://www.bcfi.be/nl/contents/jump?amppid=107615&view=pvt"
"2988178";"Urgotul Lite verband 3 x (10 x 20 cm)";"http://www.bcfi.be/nl/contents/jump?amppid=130278";"http://www.bcfi.be/nl/contents/jump?amppid=130278&view=pvt"
"2383644";"Aquacel-Ag verband 3 x (15 x 15 cm)";"http://www.bcfi.be/nl/contents/jump?amppid=105403";"http://www.bcfi.be/nl/contents/jump?amppid=105403&view=pvt"
"2408185";"Algisite M verband 10 x (10 x 10 cm)";"http://www.bcfi.be/nl/contents/jump?amppid=105494";"http://www.bcfi.be/nl/contents/jump?amppid=105494&view=pvt"
"1544683";"Suprasorb G verband 5 x (5 x 7,5 cm)";"http://www.bcfi.be/nl/contents/jump?amppid=103838";"http://www.bcfi.be/nl/contents/jump?amppid=103838&view=pvt"
"1544709";"Suprasorb G verband 3 x (20 x 20 cm)";"http://www.bcfi.be/nl/contents/jump?amppid=103853";"http://www.bcfi.be/nl/contents/jump?amppid=103853&view=pvt"
"1688498";"Suprasorb G gel 10 x 6 g";"http://www.bcfi.be/nl/contents/jump?amppid=104265";"http://www.bcfi.be/nl/contents/jump?amppid=104265&view=pvt"
"1762731";"Algoplaque verband Film 10 x (20 x 20 cm)";"http://www.bcfi.be/nl/contents/jump?amppid=104463";"http://www.bcfi.be/nl/contents/jump?amppid=104463&view=pvt"
"2164366";"Nu-Derm verband 5 x (15 x 15 cm)";"http://www.bcfi.be/nl/contents/jump?amppid=104794";"http://www.bcfi.be/nl/contents/jump?amppid=104794&view=pvt"
"2167682";"Permafoam verband Concave 10 x (16,5 x 18 cm)";"http://www.bcfi.be/nl/contents/jump?amppid=104810";"http://www.bcfi.be/nl/contents/jump?amppid=104810&view=pvt"
"2256667";"Mepilex verband Border Lite 5 x (10 x 10 cm)";"http://www.bcfi.be/nl/contents/jump?amppid=104927";"http://www.bcfi.be/nl/contents/jump?amppid=104927&view=pvt"
"2480382";"Curafil gel 1 x 84 g";"http://www.bcfi.be/nl/contents/jump?amppid=106302";"http://www.bcfi.be/nl/contents/jump?amppid=106302&view=pvt"
"2480630";"Curafil verband [geïmpregneerd] 25 x (10 x 20 cm)";"http://www.bcfi.be/nl/contents/jump?amppid=106344";"http://www.bcfi.be/nl/contents/jump?amppid=106344&view=pvt"
"2672152";"Biatain verband Soft Hold 5 x (10 x 10 cm)";"http://www.bcfi.be/nl/contents/jump?amppid=106567";"http://www.bcfi.be/nl/contents/jump?amppid=106567&view=pvt"
"2672236";"Biatain-Ag verband Klevend 5 x (15 x 15 cm)";"http://www.bcfi.be/nl/contents/jump?amppid=106633";"http://www.bcfi.be/nl/contents/jump?amppid=106633&view=pvt"
"2672244";"Biatain verband Niet-klevend 5 x (10 x 20 cm)";"http://www.bcfi.be/nl/contents/jump?amppid=106641";"http://www.bcfi.be/nl/contents/jump?amppid=106641&view=pvt"
"2672251";"Biatain verband Niet-klevend 10 x (10 x 10 cm)";"http://www.bcfi.be/nl/contents/jump?amppid=106658";"http://www.bcfi.be/nl/contents/jump?amppid=106658&view=pvt"
"2672285";"Biatain verband Niet-klevend 10 x (5 x 7 cm)";"http://www.bcfi.be/nl/contents/jump?amppid=106682";"http://www.bcfi.be/nl/contents/jump?amppid=106682&view=pvt"
"3048873";"Urgostart verband 5 x (15 x 20 cm)";"http://www.bcfi.be/nl/contents/jump?amppid=107532";"http://www.bcfi.be/nl/contents/jump?amppid=107532&view=pvt"
"3117108";"Allevyn verband Life Heel 5 x (25 x 25,2 cm)";"http://www.bcfi.be/nl/contents/jump?amppid=108530";"http://www.bcfi.be/nl/contents/jump?amppid=108530&view=pvt"
"3117082";"Allevyn verband Life Sacrum 10 x (17,2 x 17,5 cm)";"http://www.bcfi.be/nl/contents/jump?amppid=108514";"http://www.bcfi.be/nl/contents/jump?amppid=108514&view=pvt"
"3433703";"Montelukast Teva (Impexeco) kauwtabl. 98 x 4 mg";"http://www.bcfi.be/nl/contents/jump?amppid=133579";"http://www.bcfi.be/nl/contents/jump?amppid=133579&view=pvt"
"3377306";"Escitalopram Sandoz (Impexeco) filmomh. tabl. (deelb.) 56 x 10 mg";"http://www.bcfi.be/nl/contents/jump?amppid=133702";"http://www.bcfi.be/nl/contents/jump?amppid=133702&view=pvt"
"2988236";"Urgotul verband 3 x (10 x 10 cm)";"http://www.bcfi.be/nl/contents/jump?amppid=130492";"http://www.bcfi.be/nl/contents/jump?amppid=130492&view=pvt"
"2988244";"Urgotul verband 10 x (10 x 10 cm)";"http://www.bcfi.be/nl/contents/jump?amppid=130500";"http://www.bcfi.be/nl/contents/jump?amppid=130500&view=pvt"
"2988269";"Urgotul verband 10 x (15 x 20 cm)";"http://www.bcfi.be/nl/contents/jump?amppid=130526";"http://www.bcfi.be/nl/contents/jump?amppid=130526&view=pvt"
"2186807";"L-Mesitran verband Border 5 x (10 x 10 cm)";"http://www.bcfi.be/nl/contents/jump?amppid=130559";"http://www.bcfi.be/nl/contents/jump?amppid=130559&view=pvt"
"3174141";"Legalon (Impexeco) harde caps. 60 x 140 mg";"http://www.bcfi.be/nl/contents/jump?amppid=133504";"http://www.bcfi.be/nl/contents/jump?amppid=133504&view=pvt"
"3479011";"Orkambi 200/125 filmomh. tabl. 112 x";"http://www.bcfi.be/nl/contents/jump?amppid=135012";"http://www.bcfi.be/nl/contents/jump?amppid=135012&view=pvt"
"3376118";"Lidocaine Accord 10 mg / 1 ml inj. oploss. i.m./i.v./epidur./p.neur. [amp., locoregionale infiltr.] 20 x 100 mg / 10 ml";"http://www.bcfi.be/nl/contents/jump?amppid=134148";"http://www.bcfi.be/nl/contents/jump?amppid=134148&view=pvt"
"3060498";"Stalevo (PIP) 50/12,5/200 filmomh. tabl. 100 x";"http://www.bcfi.be/nl/contents/jump?amppid=107672";"http://www.bcfi.be/nl/contents/jump?amppid=107672&view=pvt"
"3259983";"Lisinopril EG (PIP) tabl. (deelb. in 4) 56 x 20 mg";"http://www.bcfi.be/nl/contents/jump?amppid=132662";"http://www.bcfi.be/nl/contents/jump?amppid=132662&view=pvt"
