"HyrCV";"HYR";"MPGRP";"TI";"INTRO";"POS"
"0000018";"A";false;"Cardiovasculair stelsel";"- 1.1. Hypertensie - 1.2. Angina pectoris - 1.3. Hartfalen - 1.4. Diuretica - 1.5. Bèta-blokkers - 1.6. Calciumantagonisten - 1.7. Middelen inwerkend op het renine-angiotensinesysteem - 1.8. Antiaritmica - 1.9. Hypotensie - 1.10. Arteriële vaatstoornissen - 1.11. Veno- en capillarotropica - 1.12. Hypolipemiërende middelen - 1.13. Middelen bij pulmonale hypertensie - 1.14. Alprostadil - 1.15. Middelen i.v.m. het sluiten van de ductus arteriosus - 1.16. Associaties voor cardiovasculaire preventie";"_"
"0000026";"AA";false;"Hypertensie";"De medicamenteuze behandeling van hypertensie is vooral gebaseerd op de middelen met bewezen gunstig effect op het cardiovasculaire risico: - diuretica ([zie 1.4. Diuretica](http://www.bcfi.be/nl/contents/398)) - β-blokkers ([zie 1.5. Bèta-blokkers](http://www.bcfi.be/nl/contents/570)) - calciumantagonisten ([zie 1.6. Calciumantagonisten](http://www.bcfi.be/nl/contents/703)) - ACE-inhibitoren (angiotensineconversie-enzyminhibitoren, [zie 1.7.1. ACE-inhibitoren](http://www.bcfi.be/nl/contents/885)) - sartanen (angiotensine-II-receptorantagonisten, [zie 1.7.2. Sartanen](http://www.bcfi.be/nl/contents/992)) - combinatiepreparaten van deze middelen ([zie 1.1.4. Combinatiepreparaten](http://www.bcfi.be/nl/contents/117)). Er is een beperktere plaats voor: - α-blokkers ([zie 1.1.1. Alfa-blokkers (prazosine)](http://www.bcfi.be/nl/contents/34)) - centraal werkende antihypertensiva ([zie 1.1.2. Centraal werkende antihypertensiva](http://www.bcfi.be/nl/contents/59)) - vasodilatoren ([zie 1.1.3. Vasodilatoren](http://www.bcfi.be/nl/contents/91)). **Aangezien diuretica, β-blokkers, calciumantagonisten, ACE-inhibitoren en sartanen meerdere belangrijke indicaties hebben, worden ze in afzonderlijke hoofdstukken besproken.** **_Plaatsbepaling_** - [Zie Folia maart 2014](http://www.bcfi.be/nl/articles/query?number=F41N03D). - Hypertensieve crisis - Hypertensie is zelden een urgentie. Bij zeer hoge bloeddrukwaarden is onmiddellijke medicamenteuze tussenkomst slechts nodig bij snel progressieve beschadiging ter hoogte van hersenen, hart of nieren; te bruuske bloeddrukdaling dient vermeden te worden zeker bij cerebrovasculaire accidenten. Bij een hypertensieve crisis met orgaanschade of neurologische symptomen dient men parenteraal antihypertensiva toe in hospitaalmilieu. In geval van hypertensieve crisis zonder orgaanschade wordt een orale behandeling ingesteld of opgedreven; snelwerkende antihypertensiva kunnen een bruuske bloeddrukdaling uitlokken en zijn af te raden. Een onderbouwd voorkeurspreparaat is er niet, en men zal de keuze van het geneesmiddel maken in functie van eventuele comorbiditeit. - Hypertensie als risicofactor - Hypertensie is één van de belangrijke risicofactoren voor cardiovasculaire, cerebrovasculaire en renale morbiditeit en mortaliteit. De aanpak van hypertensie is gebaseerd op het totale cardiovasculaire risico van de patiënt, bepaald op basis van de Europese SCORE-criteria of de Amerikaanse Framingham-criteria. De antihypertensieve behandeling moet gecombineerd worden met interventies tegen de andere risicofactoren zoals hyperlipidemie, diabetes, overgewicht en roken. Ook met de aanwezigheid van orgaanaantasting ten gevolge van de hypertensie moet rekening worden gehouden. - Bij lichte tot matige verhoging van de bloeddruk zijn herhaalde metingen nodig vooraleer een medicamenteuze behandeling wordt ingesteld. Zo mogelijk wordt dit aangevuld met zelfmeting thuis; soms kan ambulante 24 uurs-bloeddrukmeting nuttig zijn. - Secundaire hypertensie dient uitgesloten te worden, vooral jonge personen, bij plots ontstane hypertensie of bij resistentie t.o.v. de medicamenteuze behandeling. - Indien de diagnose hypertensie vaststaat, zal men (als enige maatregel of vaak samen met medicamenteuze behandeling) aanpassingen van de levensstijl aanraden die de bloeddruk en het cardiovasculaire risico verminderen. - Medicamenteuze behandeling - De beslissing een medicamenteuze behandeling in te stellen zal afhangen van de ernst van de bloeddrukverhoging, maar ook van het cardiovasculaire risico van de patiënt en van de aanwezigheid van orgaanschade (bv. linkerventrikelhypertrofie, nefropathie met microalbuminurie). Bij patiënten met een lichte arteriële hypertensie en een laag cardiovasculair risico zal men medicamenteuze behandeling overwegen indien de bloeddruk enkele maanden na aanpassen van de levensstijl nog boven de normaalwaarden blijft (140/90 mmHg). Bij patiënten met zeer hoge bloeddrukwaarden (≥180/110 mmHg), met bloeddrukwaarden blijvend ≥ 160/100 mmHg of, met waarden ≥ 140/90 mmHg bij aanwezigheid van orgaanschade of bij een sterk gestegen cardiovasculair risico, zal men onmiddellijk een medicamenteuze behandeling instellen, samen met aanpassing van de levensstijl. - In gerandomiseerde studies werd bewezen dat diuretica, β-blokkers, calciumantagonisten, ACE-inhibitoren en sartanen de morbiditeit en/of mortaliteit bij patiënten met hypertensie verlagen. Uit meta-analyses blijkt dat voor eenzelfde bloeddrukdaling, de antihypertensiva van deze klassen een gelijkaardige reductie van de cardiovasculaire morbiditeit en/of mortaliteit geven. Volgens sommige studies wordt met atenolol (en misschien ook met andere β-blokkers) een minder goede bescherming bekomen. - Bij ongecompliceerde hypertensie blijft starten met een laaggedoseerd thiazidediureticum een eerste keuze gezien de ruimste onderbouwing en de lage kostprijs. Dit geldt zeker bij systolische hypertensie bij oudere patiënten. Het antihypertensieve effect van diuretica blijft bestaan, ook als na enkele weken het diuretisch effect niet meer merkbaar is. Sommige patiëntenkarakteristieken maken dat geneesmiddelen uit een andere klasse eerste keuze zijn. Zo zal men bij afwezigheid van contra-indicaties een β-blokker geven bij patiënten met stabiele angina pectoris. Argumenten voor de keuze van een calciumantagonist zijn o.a. systolische hypertensie bij de oudere patiënt en bestaan van stabiele angina pectoris. Men zal voor een ACE-inhibitor opteren bij linkerventrikeldisfunctie na een hartinfarct en bij (diabetische en niet-diabetische) micro- of macroalbuminurie. Sartanen kunnen worden gebruikt wanneer patiënten een hardnekkige hoest ontwikkelen met een ACE-inhibitor. - Bij onvoldoende respons op een antihypertensieve behandeling is een combinatie van laaggedoseerde antihypertensiva te verkiezen boven de maximale dosis van één middel, dit wegens minder ongewenste effecten en de mogelijke additieve werking van middelen met verschillend werkingsmechanisme. - Bij heel wat patiënten zullen uiteindelijk meerdere antihypertensiva moeten worden gebruikt om te komen tot een aanvaardbare bloeddrukdaling. De meeste antihypertensiva kunnen gecombineerd worden maar het is af te raden een ACE-inhibitor of een sartaan onderling te combineren. - Ook boven de leeftijd van 60 jaar is antihypertensieve behandeling nuttig, ook bij geïsoleerde systolische hypertensie. Boven de 80 jaar bestaat er minder evidentie, maar algemeen wordt aangeraden om de antihypertensieve medicatie voort te zetten indien ze goed verdragen wordt. Bij voor de rest gezonde 80-plussers met bewezen hypertensie kan opstarten van een behandeling ook nog zinvol zijn. Er dient wel gelet te worden op een te snelle bloeddrukdaling, met hypoperfusie van belangrijke organen, bv. bij carotisstenose. - Bij hypertensieve patiënten van het zwarte ras of patiënten afkomstig uit het Indische subcontinent blijken calciumantagonisten en diuretica werkzamer dan β-blokkers, ACE-inhibitoren of sartanen. - Als streefwaarden bij de behandeling van verhoogde bloeddruk, zowel bij patiënten met laag risico als bij patiënten met hoog risico (o.a. diabetici, patiënten met chronisch nierlijden), worden &lt; 140 mmHg systolisch en &lt; 90 mmHg diastolisch voorgesteld. Bij 80-plussers is de streefwaarde 140 à 150 mmHg systolisch; bij kwetsbare ouderen dienen de bloeddrukstreefwaarden individueel te worden bepaald, in functie van de tolerantie van de patiënt. - Een behandeling van hypertensie wordt in principe levenslang aangehouden. **_Ongewenste effecten_** - Alle antihypertensiva: overdreven bloeddrukdaling, vooral orthostatisch, met risico van reflectoire tachycardie en cerebrale, renale en coronaire hypoperfusie, vooral bij ouderen. **_Zwangerschap en borstvoeding_** - [Zie Folia februari 2012](http://www.bcfi.be/nl/articles/query?number=F39N02B). - Hypertensie tijdens de zwangerschap kan ernstige gevolgen hebben voor moeder en kind. Zwangere vrouwen met hypertensie zonder orgaanschade of andere risicofactoren moeten niet systematisch behandeld worden met antihypertensiva, maar strikte follow-up blijft noodzakelijk. Bij aanwezigheid van risicofactoren (bv. orgaanschade, proteïnurie) dient wel een behandeling te worden gestart. - De beschikbare studies laten niet toe om een antihypertensivum als eerste keuze naar voren te schuiven. **ACE-inhibitoren en sartanen zijn gecontra-indiceerd.** - Meerdere bronnen stellen een β-blokker als eerste keuze voor (meeste gegevens over labetalol). Voor atenolol werd een mogelijke associatie beschreven met groeivertraging van de foetus na langdurig gebruik door de moeder. Voor andere β-blokkers is dit minder duidelijk. **Gebruik van een β-blokker kort voor de bevalling kan leiden tot bradycardie, hypotensie en hypoglykemie bij de pasgeborene.** - Als alternatief (bv. bij contra-indicatie voor een β-blokker) wordt vooral een calciumantagonist voorgesteld, met de meeste gegevens over nifedipine met verlengde afgifte en over nicardipine. - Methyldopa wordt gebruikt bij hypertensie tijdens de zwangerschap omdat tot nu toe geen bewijs van teratogeniteit werd vastgesteld. Nochtans moet men rekening houden met de potentieel ernstige ongewenste effecten ([zie 1.1.2. Centraal werkende antihypertensiva](http://www.bcfi.be/nl/contents/59)). - Over het gebruik van thiazidediuretica zijn de adviezen uiteenlopend: in de meeste bronnen wordt gebruik tijdens de zwangerschap formeel afgeraden (wegens het dalen van het circulerende bloedvolume), terwijl volgens andere bronnen diuretica veilig kunnen gebruikt worden. Zeker in situaties waarbij de uteroplacentaire perfusie reeds verminderd is (bv. pre-eclampsie, intra-uteriene groeivertraging) moeten diuretica vermeden worden. - Voor de andere antihypertensiva bestaan onvoldoende gegevens over gebruik tijdens de zwangerschap. - Pasgeborenen waarvan de moeder behandeld wordt met antihypertensiva moeten extra opgevolgd worden, zeker tijdens de eerste dagen na de geboorte en bij borstvoeding. - Borstvoeding - Worden als veilig beschouwd: - de β-blokkers labetalol en metoprolol; - de calciumantagonisten nifedipine en nicardipine; - de ACE-inhibitoren benezapril, captopril, enalapril en quinapril; - methyldopa. - Diuretica kunnen de borstvoeding onderdrukken. **_Interacties_** - Voor alle antihypertensiva geldt: - Overdreven bloeddrukdaling, vooral orthostatisch, bij combineren van meerdere antihypertensiva, bij associëren met nitraten of alcohol en bij volumedepletie. - Verhoogd risico van ongewenste effecten zoals bradycardie, elektrolytenstoornissen of verminderde nierfunctie, bij combineren van meerdere antihypertensiva. - Verminderd effect van de meeste antihypertensiva door NSAID’s. **_Bijzondere voorzorgen_** - Bij éénmaal daagse toediening van antihypertensiva moet men nagaan of over 24 uur voldoende bloeddrukdaling wordt bekomen: daarvoor wordt de bloeddruk juist vóór de volgende geneesmiddeleninname gemeten. - Opletten voor orthostatische bloeddrukdaling, vooral bij starten (eerste dosis), zeker voor α-blokkers, ACE-inhibitoren, sartanen en vasodilatoren. Zeker bij ouderen de dosis langzaam verhogen.";"_"
"0000034";"AAA";false;"Alfa-blokkers (prazosine)";"Prazosine, een α1-receptorantagonist, wordt hier besproken. De andere α-blokkers worden vooral of uitsluitend bij benigne prostaathypertrofie gebruikt en worden besproken in [ 7.2.1. Alfa1-blokkers](http://www.bcfi.be/nl/contents/6197) **_Plaatsbepaling_** - [Zie 1.1. Hypertensie](http://www.bcfi.be/nl/contents/26) - De plaats van de α-blokkers bij de behandeling van hypertensie is omstreden. **_Indicaties (synthese van de SKP)_** - Hypertensie die onvoldoende reageert op andere middelen. - Ziekte of syndroom van Raynaud. **_Contra-indicaties_** - Antecedenten van orthostatische hypotensie of van syncope. **_Ongewenste effecten_** - [Zie 1.1. Hypertensie](http://www.bcfi.be/nl/contents/26) - Water- en zoutretentie en oedeem, moeheid, duizeligheid. **_Zwangerschap, borstvoeding en bijzondere voorzorgen_** - [Zie 1.1. Hypertensie](http://www.bcfi.be/nl/contents/26) **_Interacties_** - [Zie 1.1. Hypertensie](http://www.bcfi.be/nl/contents/26) - Ernstige hypotensie bij associëren met een fosfodiësterase type 5-inhibitor ([zie 7.3.1. Fosfodiësterase type 5-inhibitoren](http://www.bcfi.be/nl/contents/6353)).";"_"
"0000042";"AAAA";true;"Specialiteiten [Alfa-blokkers (prazosine)]";"_";"_"
"0000059";"AAB";false;"Centraal werkende antihypertensiva";"**_Plaatsbepaling_** - [Zie 1.1. Hypertensie](http://www.bcfi.be/nl/contents/26) - De plaats van centraal werkende antihypertensiva in de aanpak van hypertensie is beperkt wegens een gebrek aan gegevens over hun invloed op morbiditeit en mortaliteit. - Methyldopa wordt zonder onderbouwing gebruikt bij hypertensie tijdens de zwangerschap ([zie 1.1. Hypertensie](http://www.bcfi.be/nl/contents/26)); nochtans moet men rekening houden met potentieel ernstige ongewenste effecten. - Clonidine wordt ook, zonder veel evidentie, voorgesteld ter preventie van migraine ([zie 10.9.2. Profylactische middelen](http://www.bcfi.be/nl/contents/9282)), en bij menopauzale warmte-opwellingen (lage dosis; [zie Folia maart 2004](http://www.bcfi.be/nl/articles/query?number=F31N03B)). **_Indicaties (synthese van de SKP)_** - Hypertensie die onvoldoende reageert op andere middelen. **_Contra-indicaties_** - Clonidine: hartgeleidingsstoornissen met bradycardie. - Methyldopa: depressie; leverinsufficiëntie. - Moxonidine: hartgeleidingsstoornissen met bradycardie, ernstig hartfalen. **_Ongewenste effecten_** - [Zie 1.1. Hypertensie](http://www.bcfi.be/nl/contents/26) - Sedatie, monddroogte, bradycardie, water- en zoutretentie, oedeem. - Clonidine: ook rebound-hypertensie bij bruusk stoppen van de behandeling, voorbijgaande bloeddrukverhoging bij snelle intraveneuze toediening. - Methyldopa: ook depressie, leverstoornissen, hemolytische anemie met positieve Coombs-test. - Moxonidine: ook rebound hypertensie bij bruusk stoppen van de behandeling, verhoogde mortaliteit bij patiënten met hartfalen. **_Zwangerschap, borstvoeding en bijzondere voorzorgen_** - [Zie 1.1. Hypertensie](http://www.bcfi.be/nl/contents/26) **_Interacties_** - [Zie 1.1. Hypertensie](http://www.bcfi.be/nl/contents/26) - Overdreven sedatie bij associëren met andere geneesmiddelen met sederend effect of met alcohol. - Verminderd effect van centraal werkende antihypertensiva door de meeste tricyclische antidepressiva en aanverwanten. - Verhoogd risico van rebound-hypertensie bij associëren met een β-blokker.";"_"
"0000067";"AABA";true;"Clonidine";"_";"_per os_: 0,15 mg, eventueel tot 0,60 mg p.d. in 2 à 3 doses"
"0000075";"AABB";true;"Methyldopa";"_";"--"
"0000083";"AABC";true;"Moxonidine";"_";"0,2 mg, eventueel tot 0,6 mg p.d. in 1 à 2 doses"
"0000091";"AAC";false;"Vasodilatoren";"**_Plaatsbepaling_** - [Zie 1.1. Hypertensie](http://www.bcfi.be/nl/contents/26) - De plaats van vasodilatoren bij de behandeling van hypertensie is beperkt. - Hydralazine en dihydralazine zijn niet als specialiteit beschikbaar in België, maar worden soms toegediend (magistraal bereid of uit het buitenland ingevoerd) ter behandeling van hypertensieve crises, en bij hypertensie die onvoldoende onder controle is met de andere antihypertensiva. - Urapidil wordt soms gebruikt bij hypertensieve crises en perioperatieve hypertensie. **_Ongewenste effecten_** - [Zie 1.1. Hypertensie](http://www.bcfi.be/nl/contents/26) - Water- en zoutretentie en oedeem. **_Zwangerschap, borstvoeding, interacties en voorzorgen_** - [Zie 1.1. Hypertensie](http://www.bcfi.be/nl/contents/26)";"_"
"0000109";"AACA";true;"Specialiteiten [Vasodilatoren]";"_";"_"
