"mppcv";"hyr_";"hyrcv";"ogc";"mpcv";"ouc";"mppnm";"VolgNr";"GalCV";"spef";"cq";"cu";"cfq";"cfu";"aq";"au";"afq";"afu";"atype";"cmucomb";"law";"ssecr";"pupr";"use";"note";"pos";"Content_";"GalNm_";"Index";"RemA";"RemW";"InnCnk";"VosNm_";"BT";"gdkp";"Excip";"Cheapest";"SpecRules";"Narcotic";"Amb";"Hosp"
"3055977";"JIAAG";"0009233";"B";"30221-2485";"O";"Zolmitriptan Actavis orodisp. tabl. Instant 6x 2,5mg";"_";"00081";"_";6;"x";"_";"_";"_";"_";0.0000;"_";"_";"_";"R";"b4";15.5700;"_";"_";"_";"_";"orodisp. tabl. Instant";63.8300;3.8300;2.3000;"32482";"zolmitriptan oraal 2,5 mg";false;false;"_";false;false;false;true;false
"2988178";"OMEA";"0014811";"_";"32144-1917";"O";"Urgotul Lite verband 3x (10x20cm)";"_";"00294";"_";3;"x";"_";"_";"_";"_";0.0000;"_";"_";"_";"_";"4";24.9300;"_";"_";"_";"_";"verband";831.0000;24.9300;24.9300;"34306";"actieve verbanden [NOVOS: actief verband]";false;false;"_";false;false;false;true;false
"2383644";"OMCA";"0014779";"_";"1958-2253";"O";"Aquacel-Ag verband 3x (15x15cm)";"_";"00294";"_";3;"x";"_";"_";"_";"_";0.0000;"_";"_";"_";"_";"4";31.3800;"_";"_";"_";"_";"verband";1046.0000;31.3800;31.3800;"34306";"actieve verbanden [NOVOS: actief verband]";false;false;"_";false;false;false;true;false
"2408185";"OMAA";"0014738";"_";"935-1750";"O";"Algisite M verband 10x (10x10cm)";"_";"00294";"_";10;"x";"_";"_";"_";"_";0.0000;"_";"_";"_";"_";"4";35.1100;"_";"_";"_";"_";"verband";351.1000;35.1100;35.1100;"34306";"actieve verbanden [NOVOS: actief verband]";false;false;"_";false;false;false;true;false
"1544683";"OMDA";"0014795";"_";"25544-2295";"O";"Suprasorb G verband 5x (5x7,5cm)";"_";"00294";"_";5;"x";"_";"_";"_";"_";0.0000;"_";"_";"_";"_";"4";9.7400;"_";"_";"_";"_";"verband";194.8000;9.7400;9.7400;"34306";"actieve verbanden [NOVOS: actief verband]";false;false;"_";false;false;false;true;false
"1544709";"OMDA";"0014795";"_";"25544-2295";"O";"Suprasorb G verband 3x (20x20cm)";"_";"00294";"_";3;"x";"_";"_";"_";"_";0.0000;"_";"_";"_";"_";"4";40.0900;"_";"_";"_";"_";"verband";1336.3300;40.0900;40.0900;"34306";"actieve verbanden [NOVOS: actief verband]";false;false;"_";false;false;false;true;false
"1688498";"OMDA";"0014795";"_";"25544-2295";"O";"Suprasorb G gel 10x6g";"_";"00201";"_";10;"x";6.0000;"g";"_";"_";0.0000;"_";"_";"_";"_";"4";25.8600;"_";"_";"_";"_";"gel";43.1000;25.8600;25.8600;"34306";"actieve verbanden [NOVOS: actief verband]";false;false;"_";false;false;false;true;false
"1762731";"OMBA";"0014753";"_";"950-1917";"O";"Algoplaque verband Film 10x (20x20cm)";"_";"00480";"_";10;"x";"_";"_";"_";"_";0.0000;"_";"_";"_";"_";"4";101.1000;"_";"_";"_";"_";"verband Film";1011.0000;101.1000;101.1000;"34306";"actieve verbanden [NOVOS: actief verband]";false;false;"_";false;false;false;true;false
"2164366";"OMBA";"0014753";"_";"19455-851";"O";"Nu-Derm verband 5x (15x15cm)";"_";"00294";"_";5;"x";"_";"_";"_";"_";0.0000;"_";"_";"_";"_";"4";42.6600;"_";"_";"_";"_";"verband";853.2000;42.6600;42.6600;"34306";"actieve verbanden [NOVOS: actief verband]";false;false;"_";false;false;false;true;false
"2167682";"OMEA";"0014811";"_";"21295-2279";"O";"Permafoam verband Concave 10x (16,5x18cm)";"_";"00500";"_";10;"x";"_";"_";"_";"_";0.0000;"_";"_";"_";"_";"4";81.2200;"_";"_";"_";"_";"verband Concave";812.2000;81.2200;81.2200;"34306";"actieve verbanden [NOVOS: actief verband]";false;false;"_";false;false;false;true;false
