"GalCV";"NGalNm";"FGalNm";"Amb";"Hosp"
"00001";"susp. (gran., zakjes)";"susp. (gran., sachet)";true;false
"00002";"inj. oploss. s.c. Solostar [voorgev. pen]";"sol. inj. s.c. Solostar [stylo prérempli]";true;false
"00003";"tabl. (deelb.)";"compr. (séc.)";true;false
"00004";"auric. druppels oploss. (unidose)";"gtts sol. (unidose) auric.";true;false
"00005";"filmomh. tabl. (deelb.)";"compr. pellic. (séc.)";true;false
"00006";"filmomh. tabl.";"compr. pellic.";true;false
"00007";"oploss.";"sol.";true;false
"00008";"tabl.";"compr.";true;false
"00009";"tabl. verl. afgifte";"compr. lib. prol.";true;false
"00010";"zetpil";"supp.";true;false
"00011";"inf. oploss. (pdr.) i.v. [flac.]";"sol. perf. (pdr) i.v. [flac.]";true;false
"00012";"inj./inf. oploss. i.v. [flac.]";"sol. inj./perf. i.v. [flac.]";true;false
"00013";"inj. oploss. i.m./i.v./s.c. [flac.]";"sol. inj. i.m./i.v./s.c. [flac.]";true;false
"00014";"tabl. (deelb. in 4)";"compr. (séc. en 4)";true;false
"00015";"harde maagsapresist. caps.";"gél. gastro-résist.";true;false
"00016";"inj./inf. oploss. epidur./p.neur. [amp., locoregionale infiltr.]";"sol. inj./perf. p.dural/p.neur. [amp., infiltr. locorégionale]";true;false
"00017";"siroop susp. (gran.)";"sirop susp. (gran.)";true;false
"00018";"inj./inf./instill. oploss. i.m./i.v./rect. [amp.]";"sol. inj./perf./instill. i.m./i.v./rect. [amp.]";true;false
"00019";"transderm. lok. spray oploss. Spray";"sol. spray transderm. local Spray";true;false
"00020";"maagsapresist. tabl.";"compr. gastro-résist.";true;false
"00021";"inj. oploss. s.c. Penfill [patr.]";"sol. inj. s.c. Penfill [cart.]";true;false
"00022";"inj. oploss. (pdr. + solv.) s.c. [flac. + amp.]";"sol. inj. (pdr + solv.) s.c. [flac. + amp.]";true;false
"00023";"transderm. lok. gel Emulgel";"gel transderm. local Emulgel";true;false
"00024";"inj. oploss. (pdr. + solv.) s.c. [voorgev. pen]";"sol. inj. (pdr + solv.) s.c. [stylo prérempli]";true;false
"00025";"inj./inf. oploss. i.m./i.v. [amp.]";"sol. inj./perf. i.m./i.v. [amp.]";true;false
"00026";"inj. oploss. i.v./s.c. [voorgev. spuit]";"sol. inj. i.v./s.c. [ser. préremplie]";true;false
"00027";"inf. oploss. conc. (pdr.) i.v. [flac.]";"sol. perf. à diluer (pdr) i.v. [flac.]";true;false
"00028";"transderm. lok. medic. pleister";"emplâtre médic. transderm. local";true;false
"00029";"ocul. druppels oploss. [zonder bew.]";"collyre sol. [sans cons.]";true;false
"00030";"omh. tabl.";"compr. enr.";true;false
"00031";"transderm. lok. medic. pleister Tissugel";"emplâtre médic. transderm. local Tissugel";true;false
"00032";"inj. oploss. (pdr. + solv.) s.c. [flac. + voorgev. spuit]";"sol. inj. (pdr + solv.) s.c. [flac. + ser. préremplie]";true;false
"00033";"tabl. verl. afgifte Retard";"compr. lib. prol. Retard";true;false
"00034";"harde caps. geregul. afgifte Modified Release";"gél. lib. modif. Modified Release";true;false
"00035";"siroop oploss.";"sirop sol.";true;false
"00036";"tabl. verl. afgifte (deelb.) 200";"compr. lib. prol. (séc.) 200";true;false
"00037";"siroop susp. (pdr.)";"sirop susp. (pdr)";true;false
"00038";"verband";"pansement";true;false
"00039";"harde caps.";"gél.";true;false
"00040";"harde maagsapresist. caps. EC";"gél. gastro-résist. EC";true;false
"00041";"tabl. verl. afgifte Ocas";"compr. lib. prol. Ocas";true;false
"00042";"oploss. (pdr.)";"sol. (pdr)";true;false
"00043";"harde caps. Lidose";"gél. Lidose";true;false
"00044";"ocul. zalf [zonder bew.]";"pommade opht. [sans cons.]";true;false
"00045";"tabl. verl. afgifte (deelb.) Slow";"compr. lib. prol. (séc.) Slow";true;false
"00046";"crème";"crème";true;false
"00047";"cut. emuls.";"émuls. cut.";true;false
"00048";"verband Lite";"pansement Lite";true;false
"00049";"cut. spray emuls.";"émuls. spray cut.";true;false
"00050";"verband Transparent Postoperatief";"pansement Transparent Post-opératoire";true;false
"00051";"inf. oploss. (conc.) i.v. [flac.]";"sol. perf. à diluer i.v. [flac.]";true;false
"00052";"inj. oploss. (pdr.) i.m. [flac.]";"sol. inj. (pdr) i.m. [flac.]";true;false
"00053";"inj. oploss. i.vitr. [flac.]";"sol. inj. i.vitr. [flac.]";true;false
"00054";"gel Hydro";"gel Hydro";true;false
"00055";"inj. susp. i.m. [voorgev. spuit]";"susp. inj. i.m. [ser. préremplie]";true;false
"00056";"inj. oploss. i.v./i.artic./epidur./p.neur. [flac., locoregionale infiltr.]";"sol. inj. i.v./i.artic./p.dural/p.neur. [flac., infiltr. locorégionale]";true;false
"00057";"inj. oploss. (pdr. + solv.) i.v. [flac. + voorgev. spuit]";"sol. inj. (pdr + solv.) i.v. [flac. + ser. préremplie]";true;false
"00058";"nas. spray oploss.";"sol. spray nas.";true;false
"00059";"auric./ocul. druppels susp. [zonder bew.]";"gtts susp. auric./opht. [sans cons.]";true;false
"00060";"inj./inf. oploss. i.m./i.v./i.thec./i.arter./i.ventr. [flac.]";"sol. inj./perf. i.m./i.v./i.théc./i.artér./i.ventr. [flac.]";true;false
"00061";"inf. oploss. i.v. [zak]";"sol. perf. i.v. [sac]";true;false
"00062";"inj. oploss. i.v. [amp.]";"sol. inj. i.v. [amp.]";true;false
"00063";"endocerv. gel [voorgev. spuit]";"gel endocerv. [ser. préremplie]";true;false
"00064";"wiek";"mèche";true;false
"00065";"nas. gel";"gel nas.";true;false
"00066";"nas. druppels oploss.";"gtts sol. nas.";true;false
"00067";"druppels oploss.";"gtts sol.";true;false
"00068";"inf. oploss. i.v. [amp.]";"sol. perf. i.v. [amp.]";true;false
"00069";"inj./inf. oploss. (pdr.) i.m./i.v. [flac.]";"sol. inj./perf. (pdr) i.m./i.v. [flac.]";true;false
"00070";"inf./instill. oploss. i.v./i.vesic. [flac.]";"sol. perf./instill. i.v./i.vésic. [flac.]";true;false
