"MPcv";"Hyrcv";"Hyr_";"MPnm";"IRCV";"BT";"note";"pos";"WadaN";"WadaF";"rank";"nmcv";"Orphan";"SpecRules";"Narcotic";"Amb";"Hosp"
"22335-1701";"0007369";"IECA";"Protelos";"01701";true;"_";"_";"_";"_";0;0;false;false;false;true;false
"14597-2097";"0004259";"EAADA";"Lantus";"02097";false;"_";"_";"H";"H";0;0;false;false;false;true;false
"27615-2097";"0000976";"AGAI";"Tritace";"02097";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"31641-2360";"0018671";"TDA";"Oteel";"02360";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"24372-1529";"0008201";"JCAAE";"Seroxat";"01529";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"3582-1636";"0005363";"FBAAD";"Bradley";"01636";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"22574-1818";"0007963";"JBDF";"Quetiapine Teva";"01818";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"23515-612";"0007971";"JBDG";"Risperidone EG";"00612";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"6601-1529";"0000158";"AADE";"Coveram";"01529";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"17780-1818";"0006585";"HCAF";"Morphine Teva";"01818";false;"_";"_";"N";"N";0;0;false;false;true;true;false
"22699-1636";"0000976";"AGAI";"Ramipril Sandoz";"01636";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"17962-1271";"0006585";"HCAF";"MS Contin";"01271";false;"_";"_";"N";"N";0;0;false;false;true;true;false
"28233-1628";"0007567";"JAAI";"Valium";"01628";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"23424-2485";"0018143";"JMA";"Riluzol Actavis";"02485";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"31609-935";"0021352";"KDCBC";"Rezolsta";"00935";true;"_";"_";"_";"_";0;0;false;false;false;true;false
"7617-612";"0006809";"IAAAB";"Diclofenac EG";"00612";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"9373-182";"0009811";"KABAA";"Erythrocine";"00182";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"12237-265";"0002006";"BABAAA";"Heparine Natrium B. Braun";"00265";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"12468-570";"0004218";"EAABA";"Humuline Regular";"00570";false;"_";"_";"H";"H";0;0;false;false;false;true;false
"7575-1818";"0007567";"JAAI";"Diazepam Teva";"01818";false;"_";"_";"_";"_";0;0;false;false;false;true;false
