"mppcv";"Stofcv";"ppid";"hyr_";"hyrcv_";"mpcv_";"mppnm_";"ppq";"ppgal";"InRank";"StofNm_";"Dim";"InX";"InQ";"InU";"Add";"InBasQ";"InBasU";"InQ2";"InU2";"Amb";"Hosp"
"0114595";"00846";"1";"JBBAC";"0020107";"12112-935";"Haldol druppels oploss. 30ml 2mg/1ml";0;"druppels oploss.";1;"haloperidol";;;2.0000;"mg";"/";1.0000;"ml";0.0000;;true;false
"2988178";"01990";"1";"OMEA";"0014811";"32144-1917";"Urgotul Lite verband 3x (10x20cm)";0;"verband";1;"geen actieve ingrediënten";"10 x 20 cm";;0.0000;;;0.0000;;0.0000;;true;false
"2383644";"01990";"1";"OMCA";"0014779";"1958-2253";"Aquacel-Ag verband 3x (15x15cm)";0;"verband";1;"geen actieve ingrediënten";"15 x 15 cm";;0.0000;;;0.0000;;0.0000;;true;false
"2408185";"01990";"1";"OMAA";"0014738";"935-1750";"Algisite M verband 10x (10x10cm)";0;"verband";1;"geen actieve ingrediënten";"10 x 10 cm";;0.0000;;;0.0000;;0.0000;;true;false
"1544683";"01990";"1";"OMDA";"0014795";"25544-2295";"Suprasorb G verband 5x (5x7,5cm)";0;"verband";1;"geen actieve ingrediënten";"5 x 7,5 cm";;0.0000;;;0.0000;;0.0000;;true;false
"1544709";"01990";"1";"OMDA";"0014795";"25544-2295";"Suprasorb G verband 3x (20x20cm)";0;"verband";1;"geen actieve ingrediënten";"20 x 20 cm";;0.0000;;;0.0000;;0.0000;;true;false
"1688498";"01990";"1";"OMDA";"0014795";"25544-2295";"Suprasorb G gel 10x6g";0;"gel";1;"geen actieve ingrediënten";;;0.0000;;;0.0000;;0.0000;;true;false
"1762731";"01990";"1";"OMBA";"0014753";"950-1917";"Algoplaque verband Film 10x (20x20cm)";0;"verband Film";1;"geen actieve ingrediënten";"20 x 20 cm";;0.0000;;;0.0000;;0.0000;;true;false
"2164366";"01990";"1";"OMBA";"0014753";"19455-851";"Nu-Derm verband 5x (15x15cm)";0;"verband";1;"geen actieve ingrediënten";"15 x 15 cm";;0.0000;;;0.0000;;0.0000;;true;false
"2167682";"01990";"1";"OMEA";"0014811";"21295-2279";"Permafoam verband Concave 10x (16,5x18cm)";0;"verband Concave";1;"geen actieve ingrediënten";"16,5 x 18 cm";;0.0000;;;0.0000;;0.0000;;true;false
"2256667";"01990";"1";"OMEA";"0014811";"16659-1230";"Mepilex verband Border Lite 5x (10x10cm)";0;"verband Border Lite";1;"geen actieve ingrediënten";"10 x 10 cm";;0.0000;;;0.0000;;0.0000;;true;false
"2480382";"01990";"1";"OMDA";"0014795";"6718-2238";"Curafil gel 1x84g";0;"gel";1;"geen actieve ingrediënten";;;0.0000;;;0.0000;;0.0000;;true;false
"2480630";"01990";"1";"OMDA";"0014795";"6718-2238";"Curafil verband 25x (10x20cm)";0;"verband [geïmpregneerd]";1;"geen actieve ingrediënten";"10 x 20 cm";;0.0000;;;0.0000;;0.0000;;true;false
"2672152";"01990";"1";"OMEA";"0014811";"3244-2261";"Biatain verband Soft Hold 5x (10x10cm)";0;"verband Soft Hold";1;"geen actieve ingrediënten";"10 x 10 cm";;0.0000;;;0.0000;;0.0000;;true;false
"2672236";"01990";"1";"OMEA";"0014811";"3251-2261";"Biatain-Ag verband Klevend 5x (15x15cm)";0;"verband Klevend";1;"geen actieve ingrediënten";"15 x 15 cm";;0.0000;;;0.0000;;0.0000;;true;false
"2672244";"01990";"1";"OMEA";"0014811";"3244-2261";"Biatain verband Niet-klevend 5x (10x20cm)";0;"verband Niet-klevend";1;"geen actieve ingrediënten";"10 x 20 cm";;0.0000;;;0.0000;;0.0000;;true;false
"2672251";"01990";"1";"OMEA";"0014811";"3244-2261";"Biatain verband Niet-klevend 10x (10x10cm)";0;"verband Niet-klevend";1;"geen actieve ingrediënten";"10 x 10 cm";;0.0000;;;0.0000;;0.0000;;true;false
"2672285";"01990";"1";"OMEA";"0014811";"3244-2261";"Biatain verband Niet-klevend 10x (5x7cm)";0;"verband Niet-klevend";1;"geen actieve ingrediënten";"5 x 7 cm";;0.0000;;;0.0000;;0.0000;;true;false
"3048873";"01990";"1";"OMEA";"0014811";"28043-1917";"Urgostart verband 5x (15x20cm)";0;"verband";1;"geen actieve ingrediënten";"15 x 20 cm";;0.0000;;;0.0000;;0.0000;;true;false
"3117108";"01990";"1";"OMEA";"0014811";"1065-1750";"Allevyn verband Life Heel 5x (25x25,2cm)";0;"verband Life Heel";1;"geen actieve ingrediënten";"25 x 25,2 cm";;0.0000;;;0.0000;;0.0000;;true;false
"0110882";"00449";"1";"MAAA";"0012583";"9100-281";"Endoxan omh. tabl. 50x 50mg";0;"omh. tabl.";1;"cyclofosfamide";;;50.0000;"mg";;0.0000;;0.0000;;true;false
"3117082";"01990";"1";"OMEA";"0014811";"1065-1750";"Allevyn verband Life Sacrum 10x (17,2x17,5cm)";0;"verband Life Sacrum";1;"geen actieve ingrediënten";"17,2 x 17,5 cm";;0.0000;;;0.0000;;0.0000;;true;false
"3259983";"01056";"1";"AGAF";"0000943";"15420-1529";"Lisinopril EG (PIP) tabl. (deelb. in 4) 56x 20mg";0;"tabl. (deelb. in 4)";1;"lisinopril";;;20.0000;"mg";;0.0000;;0.0000;;true;false
"3151156";"01158";"1";"JDC";"0008334";"23408-1529";"Rilatine (PIP) tabl. (deelb.) 20x 10mg";0;"tabl. (deelb.)";1;"methylfenidaat hydrochloride";;;10.0000;"mg";;0.0000;;0.0000;;true;false
"2988236";"01990";"1";"OMFA";"0014837";"31997-1917";"Urgotul verband 3x (10x10cm)";0;"verband";1;"geen actieve ingrediënten";"10 x 10 cm";;0.0000;;;0.0000;;0.0000;;true;false
"2988244";"01990";"1";"OMFA";"0014837";"31997-1917";"Urgotul verband 10x (10x10cm)";0;"verband";1;"geen actieve ingrediënten";"10 x 10 cm";;0.0000;;;0.0000;;0.0000;;true;false
"2988269";"01990";"1";"OMFA";"0014837";"31997-1917";"Urgotul verband 10x (15x20cm)";0;"verband";1;"geen actieve ingrediënten";"15 x 20 cm";;0.0000;;;0.0000;;0.0000;;true;false
"3377280";"00138";"1";"ALAA";"0001552";"2394-885";"Atorstatineg (Impexeco) filmomh. tabl. 100x 40mg";0;"filmomh. tabl.";1;"atorvastatine";;;40.0000;"mg";;0.0000;;0.0000;;true;false
"3377306";"00634";"1";"JCAAB";"0008177";"9449-885";"Escitalopram Sandoz (Impexeco) filmomh. tabl. (deelb.) 56x 10mg";0;"filmomh. tabl. (deelb.)";1;"escitalopram";;;10.0000;"mg";;0.0000;;0.0000;;true;false
"2186807";"01990";"1";"OMDA";"0014795";"32169-2402";"L-Mesitran verband Border 5x (10x10cm)";0;"verband Border";1;"geen actieve ingrediënten";"10 x 10 cm";;0.0000;;;0.0000;;0.0000;;true;false
"3433703";"01205";"1";"DAFA";"0003806";"17731-885";"Montelukast Teva (Impexeco) kauwtabl. 98x 4mg";0;"kauwtabl.";1;"montelukast";;;4.0000;"mg";;0.0000;;0.0000;;true;false
"3448081";"02071";"1";"ALAA";"0001552";"2451-885";"Atorvastatine Teva (Impexeco) filmomh. tabl. 100x 10mg";0;"filmomh. tabl.";1;"atorvastatine";;;10.0000;"mg";;0.0000;;0.0000;;true;false
"3434792";"02071";"1";"ALAA";"0001552";"2451-885";"Atorvastatine Teva (Impexeco) filmomh. tabl. 100x 40mg";0;"filmomh. tabl.";1;"atorvastatine";;;40.0000;"mg";;0.0000;;0.0000;;true;false
"3174141";"01613";"1";"CCBA";"0002766";"14795-885";"Legalon (Impexeco) harde caps. 60x 140mg";0;"harde caps.";1;"Silybum marianum (silymarine)";;;140.0000;"mg";;0.0000;;0.0000;;true;false
"3376118";"02099";"1";"RBC";"0016147";"32862-67";"Lidocaine Accord inj. oploss. [flac.] 20x10ml 10mg/1ml";0;"inj. oploss. i.m./i.v./epidur./p.neur. [flac., locoregionale infiltr. ]";1;"lidocaïne hydrochloride";;;10.0000;"mg";"/";1.0000;"ml";0.0000;;true;false
"2988160";"01990";"1";"OMEA";"0014811";"32144-1917";"Urgotul Lite verband 16x (13x12cm)";0;"verband";1;"geen actieve ingrediënten";"13 x 12 cm";;0.0000;;;0.0000;;0.0000;;true;false
"3272382";"01990";"1";"OMFA";"0014837";"32839-2477";"Spycra Contact verband 10x (5x7,5cm)";0;"verband";1;"geen actieve ingrediënten";"5 x 7,5 cm";;0.0000;;;0.0000;;0.0000;;true;false
"3272556";"01990";"1";"OMFA";"0014837";"32839-2477";"Spycra Contact verband 5x (10x18cm)";0;"verband";1;"geen actieve ingrediënten";"10 x 18 cm";;0.0000;;;0.0000;;0.0000;;true;false
"3272564";"01990";"1";"OMFA";"0014837";"32839-2477";"Spycra Contact verband 3x (18x30cm)";0;"verband";1;"geen actieve ingrediënten";"18 x 30 cm";;0.0000;;;0.0000;;0.0000;;true;false
