"mppcv";"Stofcv";"ppid";"hyr_";"hyrcv_";"mpcv_";"mppnm_";"ppq";"ppgal";"InRank";"StofNm_";"Dim";"InX";"InQ";"InU";"Add";"InBasQ";"InBasU";"InQ2";"InU2";"Amb";"Hosp"
"3055977";"01860";"1";"JIAAG";"0009233";"30221-2485";"Zolmitriptan Actavis compr. orodisp. Instant 6x 2,5mg";0;"compr. orodisp. Instant";1;"zolmitriptan";"_";"_";2.5000;"mg";"_";0.0000;"_";0.0000;"_";true;false
"2988178";"01990";"1";"OMEA";"0014811";"32144-1917";"Urgotul Lite pansement 3x (10x20cm)";0;"pansement";1;"pas de principes actifs";"10 x 20 cm";"_";0.0000;"_";"_";0.0000;"_";0.0000;"_";true;false
"2383644";"01990";"1";"OMCA";"0014779";"1958-2253";"Aquacel-Ag pansement 3x (15x15cm)";0;"pansement";1;"pas de principes actifs";"15 x 15 cm";"_";0.0000;"_";"_";0.0000;"_";0.0000;"_";true;false
"2408185";"01990";"1";"OMAA";"0014738";"935-1750";"Algisite M pansement 10x (10x10cm)";0;"pansement";1;"pas de principes actifs";"10 x 10 cm";"_";0.0000;"_";"_";0.0000;"_";0.0000;"_";true;false
"1544683";"01990";"1";"OMDA";"0014795";"25544-2295";"Suprasorb G pansement 5x (5x7,5cm)";0;"pansement";1;"pas de principes actifs";"5 x 7,5 cm";"_";0.0000;"_";"_";0.0000;"_";0.0000;"_";true;false
"1544709";"01990";"1";"OMDA";"0014795";"25544-2295";"Suprasorb G pansement 3x (20x20cm)";0;"pansement";1;"pas de principes actifs";"20 x 20 cm";"_";0.0000;"_";"_";0.0000;"_";0.0000;"_";true;false
"1688498";"01990";"1";"OMDA";"0014795";"25544-2295";"Suprasorb G gel 10x6g";0;"gel";1;"pas de principes actifs";"_";"_";0.0000;"_";"_";0.0000;"_";0.0000;"_";true;false
"1762731";"01990";"1";"OMBA";"0014753";"950-1917";"Algoplaque pansement Film 10x (20x20cm)";0;"pansement Film";1;"pas de principes actifs";"20 x 20 cm";"_";0.0000;"_";"_";0.0000;"_";0.0000;"_";true;false
"2164366";"01990";"1";"OMBA";"0014753";"19455-851";"Nu-Derm pansement 5x (15x15cm)";0;"pansement";1;"pas de principes actifs";"15 x 15 cm";"_";0.0000;"_";"_";0.0000;"_";0.0000;"_";true;false
"2167682";"01990";"1";"OMEA";"0014811";"21295-2279";"Permafoam pansement Concave 10x (16,5x18cm)";0;"pansement Concave";1;"pas de principes actifs";"16,5 x 18 cm";"_";0.0000;"_";"_";0.0000;"_";0.0000;"_";true;false
"2256667";"01990";"1";"OMEA";"0014811";"16659-1230";"Mepilex pansement Border Lite 5x (10x10cm)";0;"pansement Border Lite";1;"pas de principes actifs";"10 x 10 cm";"_";0.0000;"_";"_";0.0000;"_";0.0000;"_";true;false
"2480382";"01990";"1";"OMDA";"0014795";"6718-2238";"Curafil gel 1x84g";0;"gel";1;"pas de principes actifs";"_";"_";0.0000;"_";"_";0.0000;"_";0.0000;"_";true;false
"2480630";"01990";"1";"OMDA";"0014795";"6718-2238";"Curafil pansement 25x (10x20cm)";0;"pansement [imprégné]";1;"pas de principes actifs";"10 x 20 cm";"_";0.0000;"_";"_";0.0000;"_";0.0000;"_";true;false
"2672152";"01990";"1";"OMEA";"0014811";"3244-2261";"Biatain pansement Soft Hold 5x (10x10cm)";0;"pansement Soft Hold";1;"pas de principes actifs";"10 x 10 cm";"_";0.0000;"_";"_";0.0000;"_";0.0000;"_";true;false
"2672236";"01990";"1";"OMEA";"0014811";"3251-2261";"Biatain-Ag pansement Adhésif 5x (15x15cm)";0;"pansement Adhésif";1;"pas de principes actifs";"15 x 15 cm";"_";0.0000;"_";"_";0.0000;"_";0.0000;"_";true;false
