"StofCV";"nInNm";"fInNm";"NBase";"NInNmX";"NSaltEstr";"FBase";"FInNmX";"FSaltEstr";"Amb";"Hosp"
"02152";"benzododecinium chloride";"benzododécinium chlorure";"benzododecinium";"_";"chloride";"benzododécinium";"_";"chlorure";true;false
"00845";"Haemophilus influenzae type b (polysachariden, geconjugeerd)";"Haemophilus influenzae type b (polysaccharides, conjugué)";"Haemophilus influenzae type b";"polysachariden, geconjugeerd geconjugeerd aan tetanustoxoïd [bacterieel, biologisch]";"_";"Haemophilus influenzae type b";"polysaccharides, conjugué conjugué à l'Anatoxine Tétanique [bactérien, biologique]";"_";true;false
"01371";"paroxetine hydrochloride";"paroxétine chlorhydrate";"paroxetine";"watervrij";"hydrochloride";"paroxétine";"anhydre";"chlorhydrate";true;false
"02157";"vernakalant hydrochloride";"vernakalant chlorhydrate";"vernakalant";"_";"hydrochloride";"vernakalant";"_";"chlorhydrate";true;false
"00939";"interferon alfa-2b";"interféron alfa-2b";"interferon alfa-2b";"[biologisch, biosynthetisch]";"_";"interféron alfa-2b";"[biologique, biosynthétique]";"_";true;false
"02002";"natrium waterstofcarbonaat";"sodium hydrogénocarbonate";"natrium";"_";"waterstofcarbonaat";"sodium";"_";"hydrogénocarbonate";true;false
"02145";"amsacrine";"amsacrine";"amsacrine";"_";"_";"amsacrine";"_";"_";true;false
"02149";"dapagliflozine";"dapagliflozine";"dapagliflozine";"_";"_";"dapagliflozine";"_";"_";true;false
"02146";"edoxaban";"édoxaban";"edoxaban";"_";"_";"édoxaban";"_";"_";true;false
"02147";"edoxaban tosilaat";"édoxaban tosilate";"edoxaban";"_";"tosilaat";"édoxaban";"_";"tosilate";true;false
"02151";"lumacaftor";"lumacaftor";"lumacaftor";"_";"_";"lumacaftor";"_";"_";true;false
"02148";"mepolizumab";"mépolizumab";"mepolizumab";"[biologisch, biosynthetisch]";"_";"mépolizumab";"[biologique, biosynthétique]";"_";true;false
"02153";"Thymus vulgaris (droog extract)";"Thymus vulgaris (extrait sec)";"Thymus vulgaris";"droog extract kruid [plantaardig]";"_";"Thymus vulgaris";"extrait sec herbe [végétal]";"_";true;false
"02150";"tolvaptan";"tolvaptan";"tolvaptan";"_";"_";"tolvaptan";"_";"_";true;false
"02154";"homeopathisch ingrediënt";"ingrédient homéopathique";"homeopathisch ingrediënt";"[niet gespecificeerd]";"_";"ingrédient homéopathique";"[non spécifié]";"_";true;false
"02155";"dapagliflozine";"dapagliflozine";"dapagliflozine";"propyleenglycol monohydraat";"_";"dapagliflozine";"propylène glycol monohydraté";"_";true;false
"02156";"vernakalant";"vernakalant";"vernakalant";"_";"_";"vernakalant";"_";"_";true;false
"02158";"efmoroctocog alfa";"efmoroctocog alfa";"efmoroctocog alfa";"[biologisch, biosynthetisch]";"_";"efmoroctocog alfa";"[biologique, biosynthétique]";"_";true;false
"02159";"carfilzomib";"carfilzomib";"carfilzomib";"_";"_";"carfilzomib";"_";"_";true;false
"02160";"sacubitril";"sacubitril";"sacubitril";"_";"_";"sacubitril";"_";"_";true;false
"01127";"Mentha x piperita (olie)";"Mentha x piperita (huile)";"Mentha x piperita";"olie [plantaardig]";"_";"Mentha x piperita";"huile [végétal]";"_";true;false
"02166";"ceritinib";"céritinib";"ceritinib";"_";"_";"céritinib";"_";"_";true;false
"02165";"osimertinib mesylaat";"osimertinib mésylate";"osimertinib";"_";"mesylaat";"osimertinib";"_";"mésylate";true;false
"02164";"osimertinib";"osimertinib";"osimertinib";"_";"_";"osimertinib";"_";"_";true;false
"02169";"fenylbutyraat";"phénylbutyrate";"fenylbutyraat";"_";"_";"phénylbutyrate";"_";"_";true;false
"02168";"panobinostat lactaat";"panobinostat lactate";"panobinostat";"watervrij";"lactaat";"panobinostat";"anhydre";"lactate";true;false
"00147";"attapulgiet";"attapulgite";"attapulgiet";"[mineraal]";"_";"attapulgite";"[minéral]";"_";true;false
"02172";"tenofovir alafenamide (onder de vorm van fumaraat)";"ténofovir alafénamide (sous forme de fumarate)";"tenofovir";"onder de vorm van fumaraat";"alafenamide";"ténofovir";"sous forme de fumarate";"alafénamide";true;false
"02171";"tenofovir disoproxil (onder de vorm van fumaraat)";"ténofovir disoproxil (sous forme de fumarate)";"tenofovir";"onder de vorm van fumaraat";"disoproxil";"ténofovir";"sous forme de fumarate";"disoproxil";true;false
"02052";"cannabidiol";"cannabidiol";"cannabidiol";"[plantaardig]";"_";"cannabidiol";"[végétal]";"_";true;false
"02170";"fenylbutyraat natrium";"phénylbutyrate sodium";"fenylbutyraat";"_";"natrium";"phénylbutyrate";"_";"sodium";true;false
"02163";"linaclotide";"linaclotide";"linaclotide";"_";"_";"linaclotide";"_";"_";true;false
"01957";"tetracycline hydrochloride";"tétracycline chlorhydrate";"tetracycline";"_";"hydrochloride";"tétracycline";"_";"chlorhydrate";true;false
"01997";"ascorbaat calcium";"ascorbate calcium";"ascorbaat";"_";"calcium";"ascorbate";"_";"calcium";true;false
"02005";"chloride natrium";"chlorure sodium";"chloride";"_";"natrium";"chlorure";"_";"sodium";true;false
"01617";"Sisymbrium officinale (droog extract)";"Sisymbrium officinale (extrait sec)";"Sisymbrium officinale";"droog extract [plantaardig]";"_";"Sisymbrium officinale";"extrait sec [végétal]";"_";true;false
"01584";"salicylaat diethylamine";"salicylate diéthylamine";"salicylaat";"_";"diethylamine";"salicylate";"_";"diéthylamine";true;false
"00070";"glycinaat aluminium";"glycinate aluminium";"glycinaat";"_";"aluminium";"glycinate";"_";"aluminium";true;false
"02173";"mycofenolaat mofetil (onder de vorm van hydrochloride)";"mycophénolate mofétil (sous forme de chlorhydrate)";"mycofenolaat";"onder de vorm van hydrochloride";"mofetil";"mycophénolate";"sous forme de chlorhydrate";"mofétil";true;false
"01993";"bismutoxide";"bismuth oxyde";"bismutoxide";"_";"_";"bismuth oxyde";"_";"_";true;false
"00026";"Aconitum napellus (tinctuur)";"Aconitum napellus (teinture)";"Aconitum napellus";"tinctuur [plantaardig]";"_";"Aconitum napellus";"teinture [végétal]";"_";true;false
"01548";"risedroninezuur";"risédronate";"risedroninezuur";"_";"_";"risédronate";"_";"_";true;false
"01839";"Vitex agnus-castus (droog extract)";"Vitex agnus-castus (extrait sec)";"Vitex agnus-castus";"droog extract [plantaardig]";"_";"Vitex agnus-castus";"extrait sec [végétal]";"_";true;false
"02138";"levosimendan";"lévosimendan";"levosimendan";"_";"_";"lévosimendan";"_";"_";true;false
"02064";"eliglustat";"éliglustat";"eliglustat";"_";"_";"éliglustat";"_";"_";true;false
"02063";"clevidipine";"clévidipine";"clevidipine";"_";"_";"clévidipine";"_";"_";true;false
"02141";"netupitant";"nétupitant";"netupitant";"_";"_";"nétupitant";"_";"_";true;false
"02174";"Harpagophytum procumbens";"Harpagophytum procumbens";"Harpagophytum procumbens";"[plantaardig]";"_";"Harpagophytum procumbens";"[végétal]";"_";true;false
"00219";"bismut subgallaat";"bismuth sous-gallate";"bismut";"_";"subgallaat";"bismuth";"_";"sous-gallate";true;false
"00580";"Echinacea purpurea (sap)";"Echinacea purpurea (suc)";"Echinacea purpurea";"sap [plantaardig]";"_";"Echinacea purpurea";"suc [végétal]";"_";true;false
"00848";"Hamamelis";"Hamamélis";"Hamamelis";"[plantaardig]";"_";"Hamamélis";"[végétal]";"_";true;false
"02140";"evolocumab";"évolocumab";"evolocumab";"[biologisch, biosynthetisch]";"_";"évolocumab";"[biologique, biosynthétique]";"_";true;false
"02139";"alirocumab";"alirocumab";"alirocumab";"[biologisch, biosynthetisch]";"_";"alirocumab";"[biologique, biosynthétique]";"_";true;false
"02175";"Harpagophytum procumbens droog extract";"Harpagophytum procumbens extrait sec";"Harpagophytum procumbens";"DC./H. Zeyheri L.Decne, wortel, droog ethanol extract 60% V-V 1.5-3_1 [plantaardig]";"droog extract";"Harpagophytum procumbens";"[végétal]";"extrait sec";true;false
"02058";"idarucizumab";"idarucizumab";"idarucizumab";"[biosynthetisch]";"_";"idarucizumab";"[biosynthétique]";"_";true;false
"00299";"carvedilol";"carvédilol";"carvedilol";"_";"_";"carvédilol";"_";"_";true;false
"01766";"totale proteïnen (waaronder fibrinogeen en fibronectine)";"protéines totales (y compris fibrinogène et fibronectine)";"totale proteïnen";"waaronder fibrinogeen en fibronectine [biologisch, humaan plasma]";"_";"protéines totales";"y compris fibrinogène et fibronectine [biologique, plasma humain]";"_";true;false
"00027";"actief chloor (onder vorm van natriumhypochloriet)";"chlore actif (sous forme d'hypochlorite de sodium)";"actief chloor";"onder vorm van natriumhypochloriet";"_";"chlore actif";"sous forme d'hypochlorite de sodium";"_";true;false
